TXNAME	GENEID
"G364;G364.1(+)"	G364
"G365;G365.1(+)"	G365
"G366;G366.1(+)"	G366
"G367;G367.1(+)"	G367
"G367;G367.2(+)"	G367
"G368;G368.1(-)"	G368
"G368;G368.2(-)"	G368
"G369;G369.1(+)"	G369
"G370;G370.1(-)"	G370
"G371;G371.1(-)"	G371
"G371;G371.2(-)"	G371
"G371;G371.3(-)"	G371
"G372;G372.1(+)"	G372
"G373;G373.1(-)"	G373
"G374;G374.1(+)"	G374
"G375;G375.1(+)"	G375
"G376;G376.1(-)"	G376
"G376;G376.2(-)"	G376
"G377;G377.1(+)"	G377
"G378;G378.1(-)"	G378
"G379;G379.1(+)"	G379
"G380;G380.1(+)"	G380
"G381;G381.1(+)"	G381
"G381;G381.2(+)"	G381
"G382;G382.1(+)"	G382
"G383;G383.1(+)"	G383
"G384;G384.1(-)"	G384
"G385;G385.1(-)"	G385
"G385;G385.2(-)"	G385
"G386;G386.1(+)"	G386
"G386;G386.2(+)"	G386
"G387;G387.1(+)"	G387
"G388;G388.1(+)"	G388
"G389;G389.1(+)"	G389
"G390;G390.1(-)"	G390
"G391;G391.1(+)"	G391
"G392;G392.1(+)"	G392
"G393;G393.1(-)"	G393
"G394;G394.1(-)"	G394
"G395;G395.1(-)"	G395
"G396;G396.1(+)"	G396
"G396;G396.2(+)"	G396
"G396;G396.3(+)"	G396
"G397;G397.1(-)"	G397
"G398;G398.1(-)"	G398
"G399;G399.1(+)"	G399
"G400;G400.1(-)"	G400
"G401;G401.1(-)"	G401
"G401;G401.2(-)"	G401
"G402;G402.1(-)"	G402
"G403;G403.1(+)"	G403
"G403;G403.2(+)"	G403
"G404;G404.1(+)"	G404
"G405;G405.1(+)"	G405
"G406;G406.1(-)"	G406
"G407;G407.1(+)"	G407
"G408;G408.1(+)"	G408
"G409;G409.1(-)"	G409
"G410;G410.1(-)"	G410
"G410;G410.2(-)"	G410
"G411;G411.1(+)"	G411
"G411;G411.2(+)"	G411
"G412;G412.1(+)"	G412
"G413;G413.1(+)"	G413
"G413;G413.2(+)"	G413
"G414;G414.1(-)"	G414
"G415;G415.1(-)"	G415
"G416;G416.1(-)"	G416
"G417;G417.1(-)"	G417
"G418;G418.1(+)"	G418
"G418;G418.2(+)"	G418
"G418;G418.3(+)"	G418
"G419;G419.1(+)"	G419
"G420;G420.1(-)"	G420
"G420;G420.2(-)"	G420
"G420;G420.3(-)"	G420
"G420;G420.4(-)"	G420
"G420;G420.5(-)"	G420
"G420;G420.6(-)"	G420
"G420;G420.7(-)"	G420
"G420;G420.8(-)"	G420
"G420;G420.9(-)"	G420
"G420;G420.10(-)"	G420
"G421;G421.1(-)"	G421
"G422;G422.1(-)"	G422
"G423;G423.1(-)"	G423
"G424;G424.1(-)"	G424
"G425;G425.1(-)"	G425
"G426;G426.1(+)"	G426
"G426;G426.2(+)"	G426
"G427;G427.1(-)"	G427
"G428;G428.1(-)"	G428
"G428;G428.2(-)"	G428
"G429;G429.1(+)"	G429
"G430;G430.1(+)"	G430
"G431;G431.1(-)"	G431
"G432;G432.1(-)"	G432
"G433;G433.1(+)"	G433
"G434;G434.1(+)"	G434
"G435;G435.1(-)"	G435
"G436;G436.1(+)"	G436
"G437;G437.1(+)"	G437
"G437;G437.2(+)"	G437
"G438;G438.1(-)"	G438
"G438;G438.2(-)"	G438
"G439;G439.1(+)"	G439
"G439;G439.2(+)"	G439
"G440;G440.1(-)"	G440
"G441;G441.1(-)"	G441
"G442;G442.1(-)"	G442
"G443;G443.1(+)"	G443
"G444;G444.1(-)"	G444
"G444;G444.2(-)"	G444
"G445;G445.1(-)"	G445
"G445;G445.2(-)"	G445
"G446;G446.1(+)"	G446
"G447;G447.1(+)"	G447
"G447;G447.2(+)"	G447
"G448;G448.1(-)"	G448
"G449;G449.1(-)"	G449
"G450;G450.1(+)"	G450
"G451;G451.1(+)"	G451
"G451;G451.2(+)"	G451
"G452;G452.1(+)"	G452
"G453;G453.1(-)"	G453
"G454;G454.1(-)"	G454
"G455;G455.1(-)"	G455
"G456;G456.1(+)"	G456
"G457;G457.1(+)"	G457
"G458;G458.1(-)"	G458
"G458;G458.2(-)"	G458
"G459;G459.1(+)"	G459
"G459;G459.2(+)"	G459
"G460;G460.1(-)"	G460
"G461;G461.1(-)"	G461
"G462;G462.1(+)"	G462
"G463;G463.1(+)"	G463
"G464;G464.1(+)"	G464
"G465;G465.1(+)"	G465
"G466;G466.1(-)"	G466
"G467;G467.1(-)"	G467
"G467;G467.2(-)"	G467
"G468;G468.1(+)"	G468
"G468;G468.2(+)"	G468
"G469;G469.1(-)"	G469
"G470;G470.1(+)"	G470
"G471;G471.1(-)"	G471
"G472;G472.1(+)"	G472
"G473;G473.1(-)"	G473
"G474;G474.1(-)"	G474
"G474;G474.2(-)"	G474
"G475;G475.1(-)"	G475
"G475;G475.2(-)"	G475
"G476;G476.1(-)"	G476
"G477;G477.1(+)"	G477
"G478;G478.1(+)"	G478
"G479;G479.1(-)"	G479
"G480;G480.1(+)"	G480
"G481;G481.1(+)"	G481
"G482;G482.1(+)"	G482
"G482;G482.2(+)"	G482
"G483;G483.1(+)"	G483
"G483;G483.2(+)"	G483
"G484;G484.1(+)"	G484
"G485;G485.1(+)"	G485
"G486;G486.1(-)"	G486
"G486;G486.2(-)"	G486
"G487;G487.1(+)"	G487
"G487;G487.2(+)"	G487
"G488;G488.1(-)"	G488
"G489;G489.1(-)"	G489
"G490;G490.1(+)"	G490
"G490;G490.2(+)"	G490
"G490;G490.3(+)"	G490
"G491;G491.1(-)"	G491
"G492;G492.1(-)"	G492
"G492;G492.2(-)"	G492
"G493;G493.1(-)"	G493
"G494;G494.1(-)"	G494
"G495;G495.1(+)"	G495
"G496;G496.1(+)"	G496
"G496;G496.2(+)"	G496
"G496;G496.3(+)"	G496
"G496;G496.4(+)"	G496
"G496;G496.5(+)"	G496
"G496;G496.6(+)"	G496
"G496;G496.7(+)"	G496
"G497;G497.1(-)"	G497
"G498;G498.1(-)"	G498
"G499;G499.1(+)"	G499
"G500;G500.1(+)"	G500
"G501;G501.1(-)"	G501
"G502;G502.1(-)"	G502
"G503;G503.1(-)"	G503
"G503;G503.2(-)"	G503
"G504;G504.1(-)"	G504
"G505;G505.1(+)"	G505
"G506;G506.1(-)"	G506
"G507;G507.1(+)"	G507
"G508;G508.1(+)"	G508
"G509;G509.1(-)"	G509
"G510;G510.1(-)"	G510
"G511;G511.1(+)"	G511
"G512;G512.1(+)"	G512
"G513;G513.1(+)"	G513
"G514;G514.1(-)"	G514
"G515;G515.1(+)"	G515
"G516;G516.1(-)"	G516
"G517;G517.1(-)"	G517
"G517;G517.2(-)"	G517
"G518;G518.1(-)"	G518
"G519;G519.1(-)"	G519
"G520;G520.1(+)"	G520
"G521;G521.1(+)"	G521
"G522;G522.1(-)"	G522
"G522;G522.2(-)"	G522
"G522;G522.3(-)"	G522
"G522;G522.4(-)"	G522
"G523;G523.1(+)"	G523
"G524;G524.1(-)"	G524
"G525;G525.1(-)"	G525
"G525;G525.2(-)"	G525
"G526;G526.1(+)"	G526
"G527;G527.1(-)"	G527
"G528;G528.1(+)"	G528
"G528;G528.2(+)"	G528
"G529;G529.1(+)"	G529
"G530;G530.1(-)"	G530
"G530;G530.2(-)"	G530
"G531;G531.1(-)"	G531
"G532;G532.1(-)"	G532
"G532;G532.2(-)"	G532
"G532;G532.3(-)"	G532
"G533;G533.1(+)"	G533
"G534;G534.1(+)"	G534
"G534;G534.2(+)"	G534
"G535;G535.1(+)"	G535
"G536;G536.1(-)"	G536
"G537;G537.1(+)"	G537
"G538;G538.1(+)"	G538
"G539;G539.1(-)"	G539
"G540;G540.1(+)"	G540
"G541;G541.1(+)"	G541
"G542;G542.1(+)"	G542
"G543;G543.1(+)"	G543
"G543;G543.2(+)"	G543
"G543;G543.3(+)"	G543
"G544;G544.1(-)"	G544
"G544;G544.2(-)"	G544
"G545;G545.1(-)"	G545
"G546;G546.1(-)"	G546
"G547;G547.1(-)"	G547
"G547;G547.2(-)"	G547
"G547;G547.3(-)"	G547
"G548;G548.1(-)"	G548
"G549;G549.1(+)"	G549
"G549;G549.2(+)"	G549
"G549;G549.3(+)"	G549
"G549;G549.4(+)"	G549
"G549;G549.5(+)"	G549
"G549;G549.6(+)"	G549
"G550;G550.1(+)"	G550
"G550;G550.2(+)"	G550
"G551;G551.1(+)"	G551
"G552;G552.1(+)"	G552
"G552;G552.2(+)"	G552
"G552;G552.3(+)"	G552
"G553;G553.1(+)"	G553
"G553;G553.2(+)"	G553
"G554;G554.1(+)"	G554
"G555;G555.1(+)"	G555
"G556;G556.1(-)"	G556
"G557;G557.1(+)"	G557
"G558;G558.1(+)"	G558
"G559;G559.1(-)"	G559
"G559;G559.2(-)"	G559
"G560;G560.1(-)"	G560
"G560;G560.2(-)"	G560
"G560;G560.3(-)"	G560
"G560;G560.4(-)"	G560
"G560;G560.5(-)"	G560
"G560;G560.6(-)"	G560
"G560;G560.7(-)"	G560
"G560;G560.8(-)"	G560
"G560;G560.9(-)"	G560
"G560;G560.10(-)"	G560
"G560;G560.11(-)"	G560
"G561;G561.1(-)"	G561
"G562;G562.1(+)"	G562
"G562;G562.2(+)"	G562
"G563;G563.1(+)"	G563
"G564;G564.1(-)"	G564
"G565;G565.1(-)"	G565
"G566;G566.1(+)"	G566
"G567;G567.1(-)"	G567
"G567;G567.2(-)"	G567
"G568;G568.1(-)"	G568
"G568;G568.2(-)"	G568
"G569;G569.1(+)"	G569
"G570;G570.1(+)"	G570
"G571;G571.1(-)"	G571
"G572;G572.1(-)"	G572
"G573;G573.1(+)"	G573
"G574;G574.1(+)"	G574
"G575;G575.1(+)"	G575
"G575;G575.2(+)"	G575
"G576;G576.1(+)"	G576
"G577;G577.1(-)"	G577
"G578;G578.1(+)"	G578
"G579;G579.1(+)"	G579
"G579;G579.2(+)"	G579
"G579;G579.3(+)"	G579
"G580;G580.1(-)"	G580
"G581;G581.1(+)"	G581
"G582;G582.1(-)"	G582
"G583;G583.1(-)"	G583
"G584;G584.1(-)"	G584
"G585;G585.1(+)"	G585
"G586;G586.1(+)"	G586
"G587;G587.1(-)"	G587
"G588;G588.1(+)"	G588
"G588;G588.2(+)"	G588
"G589;G589.1(+)"	G589
"G590;G590.1(-)"	G590
"G590;G590.2(-)"	G590
"G591;G591.1(-)"	G591
"G592;G592.1(+)"	G592
"G593;G593.1(+)"	G593
"G594;G594.1(+)"	G594
"G595;G595.1(-)"	G595
"G596;G596.1(-)"	G596
"G597;G597.1(-)"	G597
"G597;G597.2(-)"	G597
